,page,name,description,old_price,original_price,stars
250,14,"Apartment in Islamabad, Pakistan",Flamingo Grand Apartments,77.0,85.0,5.0
251,14,"Private room in Mawlynnong, India",Roberts homestay Mawlynnong,18.0,18.0,4.7
252,15,"Private room in Sosan, India",Lost&Found Galactic Friends' House,13.0,13.0,4.82
253,15,"Apartment in Panaji, India",Lavish Sea View Apartment!!,129.0,129.0,4.82
254,15,"Earthen home in Auroville, India","Lotus Studio in Skandavan's garden, Edayanchavadi",39.0,39.0,4.81
255,15,"Home in Jaipur, India","(Entire floor) The Haveli, A Home Stay C scheme",84.0,120.0,4.61
256,15,"Villa in Galle, Sri Lanka",Rose Villa paradise on the ocean.,201.0,201.0,4.84
257,15,"Hotel room in Jodhpur, India",SADAR HAVELI HERITAGE,22.0,22.0,4.63
258,15,"Bungalow in Kochi, India",Verdant Heritage Bungalow  (Entire Upper Floor),50.0,50.0,4.93
259,15,"Private room in Pathau, India",Glamping on Neer Waterfalls .,44.0,44.0,No Review
260,15,"Dome in Kamshet, India",Ethereal Dome w/ Private Plunge Pool & 3 Meals,59.0,59.0,4.89
261,15,"Farm stay in Bengaluru Urban, India",Luxury farmhouse in Bangalore,190.0,190.0,4.77
262,15,"Private room in Karnataka, India",Vanandhaara Coorg I Homestay | Pool Villa 1,89.0,89.0,4.92
263,15,"Private room in Gurugram, India",Reebah Inn & Suites - 3,16.0,16.0,4.62
264,15,"Apartment in Kolkata, India","Modern n Smart Studios, Apt-501 Near Airport n CC2",33.0,33.0,4.84
265,15,"Private room in Gangtok, India",Rustic walnut cottage - waterfall & mountain view,66.0,66.0,4.97
266,15,"Home in Banepa, Nepal",Entire house with all amenities and hill views,73.0,73.0,5.0
267,15,"Cottage in Habarana, Sri Lanka",Far Cry Kumbukkalli Forest Retreat,105.0,105.0,4.8
268,15,"Apartment in Islamabad, Pakistan",Flamingo Grand Apartments,77.0,85.0,5.0
269,15,"Private room in Mawlynnong, India",Roberts homestay Mawlynnong,18.0,18.0,4.7
